year,DOMESTICMIG,REGION,CENSUS2010POP,STATE,POPESTIMATE,BIRTHS,NATURALINC,INTERNATIONALMIG,DEATHS,ESTIMATESBASE
2010,1238,South Region,4779736,Alabama,4785448,14227,3154,928,11073,4780138
2011,-2239,South Region,4779736,Alabama,4798834,59689,10871,4716,48818,
2012,59,South Region,4779736,Alabama,4815564,59070,10706,5874,48364,
2013,2641,South Region,4779736,Alabama,4830460,57936,7089,5111,50847,
2014,-755,South Region,4779736,Alabama,4842481,58907,9215,3753,49692,
2015,-1553,South Region,4779736,Alabama,4853160,59637,7817,4685,51820,
2016,-1977,South Region,4779736,Alabama,4864745,59388,7726,5950,51662,
2017,2065,South Region,4779736,Alabama,4875120,58259,5226,3190,53033,
2018,5718,South Region,4779736,Alabama,4887871,57216,3791,3344,53425,
2010,1162,West Region,710231,Alaska,713906,2893,1969,433,924,710249
2011,-979,West Region,710231,Alaska,722038,11702,7766,1320,3936,
2012,-1274,West Region,710231,Alaska,730399,11123,7188,2361,3935,
2013,-3544,West Region,710231,Alaska,737045,11342,7296,2881,4046,
2014,-9593,West Region,710231,Alaska,736307,11446,7411,1213,4035,
2015,-8178,West Region,710231,Alaska,737547,11335,6981,2306,4354,
2016,-5175,West Region,710231,Alaska,741504,11247,6806,2282,4441,
2017,-10746,West Region,710231,Alaska,739786,10981,6395,2595,4586,
2018,-10752,West Region,710231,Alaska,737438,10693,5955,2401,4738,
2010,3496,West Region,6392017,Arizona,6407774,20942,9458,2709,11484,6392288
2011,10583,West Region,6392017,Arizona,6473497,86103,37946,17126,48157,
2012,30078,West Region,6392017,Arizona,6556629,85580,36834,15779,48746,
2013,23960,West Region,6392017,Arizona,6634999,86100,35510,18681,50590,
2014,40464,West Region,6392017,Arizona,6733840,86124,35888,22020,50236,
2015,45315,West Region,6392017,Arizona,6833596,86765,33915,20235,52850,
2016,61949,West Region,6392017,Arizona,6945452,84965,28942,20865,56023,
2017,62930,West Region,6392017,Arizona,7048876,83743,26063,14248,57680,
2018,83240,West Region,6392017,Arizona,7171646,83550,24744,14335,58806,
2010,2459,South Region,2915918,Arkansas,2921978,9438,2471,811,6967,2916028
2011,5504,South Region,2915918,Arkansas,2940407,38442,8979,3717,29463,
2012,-1099,South Region,2915918,Arkansas,2952109,38596,8821,3799,29775,
2013,-2046,South Region,2915918,Arkansas,2959549,37977,7038,2384,30939,
2014,-3305,South Region,2915918,Arkansas,2967726,38230,8288,3188,29942,
2015,-146,South Region,2915918,Arkansas,2978407,38779,7448,3398,31331,
2016,1065,South Region,2915918,Arkansas,2990410,38604,7462,3516,31142,
2017,4003,South Region,2915918,Arkansas,3002997,37703,6404,2180,31299,
2018,2475,South Region,2915918,Arkansas,3013825,37191,6098,2260,31093,
2010,-20443,West Region,37253956,California,37320903,123311,66043,21145,57268,37254523
2011,-53949,West Region,37253956,California,37641823,509763,271319,105527,238444,
2012,-40787,West Region,37253956,California,37960782,497431,257882,105015,239549,
2013,-52973,West Region,37253956,California,38280824,499628,251905,123416,247723,
2014,-45720,West Region,37253956,California,38625139,498911,254960,138111,243951,
2015,-80259,West Region,37253956,California,38953142,500353,246797,164026,253556,
2016,-122586,West Region,37253956,California,39209127,490384,230452,148792,259932,
2017,-137608,West Region,37253956,California,39399349,481969,208607,119732,273362,
2018,-156068,West Region,37253956,California,39557045,477145,196471,117797,280674,
2010,6792,West Region,5029196,Colorado,5048281,16789,8949,2376,7840,5029316
2011,26255,West Region,5029196,Colorado,5121771,65919,33904,12670,32015,
2012,27951,West Region,5029196,Colorado,5193721,64743,32020,11357,32723,
2013,35843,West Region,5029196,Colorado,5270482,64736,31155,9060,33581,
2014,38359,West Region,5029196,Colorado,5351218,65722,31788,9814,33934,
