year,REGION,STATE,CENSUS2010POP,DOMESTICMIG,POPESTIMATE,DEATHS,BIRTHS,INTERNATIONALMIG,ESTIMATESBASE,NATURALINC
2010,South Region,Alabama,4779736,1238,4785448,11073,14227,928,4780138,3154
2011,South Region,Alabama,4779736,-2239,4798834,48818,59689,4716,,10871
2012,South Region,Alabama,4779736,59,4815564,48364,59070,5874,,10706
2013,South Region,Alabama,4779736,2641,4830460,50847,57936,5111,,7089
2014,South Region,Alabama,4779736,-755,4842481,49692,58907,3753,,9215
2015,South Region,Alabama,4779736,-1553,4853160,51820,59637,4685,,7817
2016,South Region,Alabama,4779736,-1977,4864745,51662,59388,5950,,7726
2017,South Region,Alabama,4779736,2065,4875120,53033,58259,3190,,5226
2018,South Region,Alabama,4779736,5718,4887871,53425,57216,3344,,3791
2010,West Region,Alaska,710231,1162,713906,924,2893,433,710249,1969
2011,West Region,Alaska,710231,-979,722038,3936,11702,1320,,7766
2012,West Region,Alaska,710231,-1274,730399,3935,11123,2361,,7188
2013,West Region,Alaska,710231,-3544,737045,4046,11342,2881,,7296
2014,West Region,Alaska,710231,-9593,736307,4035,11446,1213,,7411
2015,West Region,Alaska,710231,-8178,737547,4354,11335,2306,,6981
2016,West Region,Alaska,710231,-5175,741504,4441,11247,2282,,6806
2017,West Region,Alaska,710231,-10746,739786,4586,10981,2595,,6395
2018,West Region,Alaska,710231,-10752,737438,4738,10693,2401,,5955
2010,West Region,Arizona,6392017,3496,6407774,11484,20942,2709,6392288,9458
2011,West Region,Arizona,6392017,10583,6473497,48157,86103,17126,,37946
2012,West Region,Arizona,6392017,30078,6556629,48746,85580,15779,,36834
2013,West Region,Arizona,6392017,23960,6634999,50590,86100,18681,,35510
2014,West Region,Arizona,6392017,40464,6733840,50236,86124,22020,,35888
2015,West Region,Arizona,6392017,45315,6833596,52850,86765,20235,,33915
2016,West Region,Arizona,6392017,61949,6945452,56023,84965,20865,,28942
2017,West Region,Arizona,6392017,62930,7048876,57680,83743,14248,,26063
2018,West Region,Arizona,6392017,83240,7171646,58806,83550,14335,,24744
2010,South Region,Arkansas,2915918,2459,2921978,6967,9438,811,2916028,2471
2011,South Region,Arkansas,2915918,5504,2940407,29463,38442,3717,,8979
2012,South Region,Arkansas,2915918,-1099,2952109,29775,38596,3799,,8821
2013,South Region,Arkansas,2915918,-2046,2959549,30939,37977,2384,,7038
2014,South Region,Arkansas,2915918,-3305,2967726,29942,38230,3188,,8288
2015,South Region,Arkansas,2915918,-146,2978407,31331,38779,3398,,7448
2016,South Region,Arkansas,2915918,1065,2990410,31142,38604,3516,,7462
2017,South Region,Arkansas,2915918,4003,3002997,31299,37703,2180,,6404
2018,South Region,Arkansas,2915918,2475,3013825,31093,37191,2260,,6098
2010,West Region,California,37253956,-20443,37320903,57268,123311,21145,37254523,66043
2011,West Region,California,37253956,-53949,37641823,238444,509763,105527,,271319
2012,West Region,California,37253956,-40787,37960782,239549,497431,105015,,257882
2013,West Region,California,37253956,-52973,38280824,247723,499628,123416,,251905
2014,West Region,California,37253956,-45720,38625139,243951,498911,138111,,254960
2015,West Region,California,37253956,-80259,38953142,253556,500353,164026,,246797
